review,task
Very helpful for the home nurse on site.,UE
"Great app!! This made life easy, capturing family moments and saving for years to come I rated pretty few and Evernote are at the top of the list",UE
"This app is really useful for accessing documents while I'm out and about The only big thing I think it lacks is a way to share folders while you're using the app I'd love to be able to share a folder through the app, and I had to do this before while I was out and about, but unfortunately this app as of 3113 doesn't have this feature It would be really useful to have it!",UE
It's great how you can review an area and save the things you want to do in that area for your next visit.,UE
Love itIve never had problems uploads and searches are fine,UE
Error reportNot OK,UE
Finally. A safe place for my private photos. No more worrying about things being seen accidentally. Buy this.,UE
I am a student of nursing and this lab reference is the best I have ever seen or used! It has helped me to understand the labs so well! I highly recommend the app!!!,UE
Excellent!!!! Love love love love!!!! I have so many new recipes and design ideas It is so much fun to see what friends like and pin also,UE
"Now that I have this app, I can't imagine how I got on without it. In my experience, it's about 98% accurate and the spoken directions are a necessity if you're traveling alone. An improvement would be to have the spoken directions a little earlier, especially on a busy highway. I would recommend this app to anyone looking for a reliable, accurate directions.",UE
The best thing I've ever tried??? It??? s been up for a long time.???,UE
"I think this app works better than using my desktop forums. Eat fast to read, search well. I wish it had miniusa and bike forums... Ideal for Tacoma World.",UE
"Some cards are super funny! They are a great way to make someone laugh. Sometimes, I just like to look through them because they are fun to read.",UE
I love it I can pin what I like and send pictures and quotes to my girlfriend,UE
"Good thing is you need people's contacts to get them on whatsapp, but that's the only bad thing about it",UE
"A great app at hand. The pronunciation button is a useful tool if you're not sure if a word is pronounced correctly. Also, several definitions are given to ensure that you use the word in its true context.",UE
"Synchronizing is a bit difficult at first glance, but otherwise wonderful.",UE
My favorite app. It really works! You have to try it.,UE
"EVERY FIRST OF ALL RECEIVES THIS APP IF YOU HAVE A FANTASY TEAM AND CAN ACT YES. CHOOSE THE TEAM, YOU WANT TO ACT WITH AND THEN THE PRESS PROPOSE TRADE TO THE TOP OF THE SCREW!!!!!!",UE
It is a pure pleasure to have a photo when your friends call and sometimes contact information from your FB friends that you did not take the time to acquire. Fabulous!,UE
The new PDF-Reader is GREAT!!,UE
"I use it every time I'm out of time for restaurants and have never done anything wrong. I've tried other food apps that aren't nearly as accurate. A plus is that they don't mess with the ratings of fast food restaurants. Who needs a star rating for McDonalds, Burger King, etc.? Also very good to find a good hotel.",UE
This app works like a charm. You don't have to spend the extra time finding an available partner.,UE
"This has become my most important note-taking program. I wish I could write handwriting on it. Love, how can I store Outlook emails in it?",UE
"Very helpful to have it, but why some reviews aren't published here, I wrote negatively about the Best West Myrtle Beach hotel they don't want to publish. I hope this isn't like a BBB agency paying money to get good reviews.",UE
"I already gave a review when I first downloaded that this app is the best. Well, yesterday it proved to be the best. I have a health condition and yesterday I had to go to the hospital. I just emailed my list, printed it out and could give it to the doctor. Even the nurses and doctors were impressed. However, there is one thing I think would make this app even better. Add a COMMENTS section so you can write comments about yourself or the medication or whatever.",UE
It's a great app for taking notes for lessons on my tablet and still being able to access it over the internet.,UE
Really like this app. It's a very simple way to diary,UE
I find this app very useful. It has mechanisms and class information that most other free programs lack. It can't be done much better (especially for free)!,UE
"Green UI doesn't look good or feel good It's also no useful place to maximize space should be the goal, but it doesn't feel like it The app still works It's clunky and too much advertising Probably it's not even a problem that they've rolled out the ads at the wrong time",UE
I like this app and how I can place articles that I want to review at a later time. I use it to store recipes or interesting articles that I can read at a later time.,UE
"If the stars could be higher, I would rate them as that. I want to become an orthopedic surgeon and this is the best app I've ever come across to learn the skeletal system!!! I would recommend it to anyone, from a surgical intern to an A & P student in high school! Best thing, I can't say it enough!",UE
"I use it to track recipes, take notes on hobbies, keep up with maintenance.",UE
So easy to use!,UE
Absolutely handy for the pictures you don't have to see otherwise.,UE
This app is great for road trips. Children can listen to their music and I can put on headphones and listen to my books.,UE
Exactly the biggest thing I love is that I can spend hours and hours on it! There's nothing I don't like!,UE
"It takes forever to upload photos, 2-3 weeks after I started the photos, it was finally visible. I had no problems installing the latest update. I love the recent upgrades.",UE
Addictive! Love to save things to read them later and find so many clever ideas!!,UE
"Love this app on my iPhone, iPad and computer you all sync Nice Use it on the go to look up restaurants and use it to research all our trips The reviews and forums are great tools for travel",UE
"Love, this saves me having to turn on the light via settings. I use it all the time.",UE
"PC, laptops, droids, tablets, two iPhones and a number of reference documents on all for me and the woman What the hell have I done by sending copies and updates in msgs and handwritten notes, I am so embarrassed that I did not find that 3 years ago?",UE
"As a writing daydreamer, I'm constantly thinking about new ideas, and having a tool to access my material wherever I go is fantastic. Instead of just writing down a note (which I can't always do) and pointing it out later when I get home, logging on to the computer and opening a Word document, it's so much easier and more convenient to do it with this app that I've even used Evernote for school work, essays most of the time, so there's no need to send me documents by email. There are just a few mistakes that I noticed, but nothing that makes me stop using this app, I love it too much!!",UE
"It is as accurate as any weather forecaster paid to get it 100% wrong. So far, this app has been close enough to allow me to dress appropriately, so too much scientific input is important to me. I just don't want to carry an umbrella when the sun is shining.",UE
"I love this app, super simple interface and I use it all the time.",UE
"Very useful, but sometimes it's difficult to type an essay without cross-sectional mode. It's ridiculous how a word-processing app can't type landscape.",UE
Only the required link Perfect solution for my Android / Linux environment. Works well with Tasker.,UE
"Very useful app, have fun looking and seeing what is available.",UE
I used this app recently during Hurricane Isaac. This app was updated faster and was much more reliable than the other two with the big websites. Get it. You may need it when it matters.,UE
Beautiful user interface Keep up the good work!,UE
"great item. Quick, easy ordering. Love fab.",UE
"I have now traveled through the US and several European countries and do not know how I have traveled without it. It has lost sight of the risk of invisible hotels and restaurants and led to many memorable stories. Yes, reviews are not always punctual, but 90% is a huge improvement.",UE
"I've always found Dropbox to be a bit faulty, but it's gotten worse since I upgraded to iOS 7. When I download zip files or web pages and open the files, the screen is blank, blackened, or a blurry enlarged image of the icon (from Facebook, Google, or other icons related to the page that the zip file or web page came from when I was a teacher), I rely on online & amp offline access to do research for my work as a teacher, and I need to write notes & amp as zip files to save space.",UE
"The only reason I switched to iOS7 was to get the latest version of Evernote. I have no idea what everyone is complaining about. Super easy to add notes still No sync issues Mobile phone announcements from Evernote The map indicator is still there, you just have to look (gasping) for a second.",UE
"Honestly, it took me a while to get used to the app - web clipping, photo notes, sharing, etc., but now I find that this app is the ""deal killer"" - the one thing that MUST be on any device - The note scanner is so powerful that it can read my scribbles (take notes in a meeting, take photos in evernote, throw them out!)",UE
"I never book a room without first checking the reviews on this page! I love how I can read reviews from ""real"" people and not what someone in marketing came up with to entice me to stay! I highly recommend it to everyone!",UE
"LOVE IT. From trips with the kids to experiencing new restaurants, I have saved a lot of money. I try to make use of the huge savings on massages and good ones.",UE
The best information about hotels!,UE
"I love that I can have Post-it notes without the post being his love, that I can take notes and jog a memory just by looking at the ""Post-it"" Good App, which I will update when I use up all the space)",UE
"I loved Evernotesthat is Until I download iOS7 With their new and improved look they also eliminated everything you had ever saved. However, they managed to keep the notebook names, unfortunately all the notes in these notebooks were deleted. I used this app for my work and all personal business files disappeared! Be sure to use this app only for unimportant notes Very disappointed - (",UE
"I love its multifunctionality. I am able to make several business and annual expenses, etc.!",UE
"It's great for my brother because he's only four years old, so when Disney comes I can play it for him so he's not on board.",UE
GudEs is a very good way to contact people far away,UE
Very helpful and informative for both countries and overseas,UE
There are so many cool choices??,UE
It allows me to take notes every day that help with medical evaluation. It almost feels like I am cheating my memory.,UE
Great app! Amazing features! Perfect for movie collectors. I love it!,UE
Fantastic app! Makes reading forums so much easier that I do it more now. Great!!,UE
"Love this app, although I wish you could add local stores to your store list",UE
"After downloading this, it just sat on my desktop for a million years. Then I came up with the brilliant idea of taking a screenshot of an Expedia itinerary Wow! Suddenly I'm running off, saving and retrieving information on everything from learning disabilities to salad dressings. I'd rather have layered nesting for the notebooks, but it's pretty cool by the way, I use the Skitch add-on for editing, reformatting, * bold * printing and so on. It's great",UE
I love this app because it helps me keep my finances in order.,UE
The best shoe app ever!!!!!!!!!!!!!!!!!!!!! Correct dates and prices! Let me know everything about the shoe!??,UE
Tell me I was 31 when in 13 very sad app lowers self esteem lol don't get this app it is misleading and very inaccurate don't waste ur time,UE
The best replacement app if your laptop is broken!!,UE
Helpful in finding great lodging and restaurants from South Alabama to Arkansas to Texas,UE
"Mint is a great way to get control of your finances, it really helps you with your spending and makes you aware of what you are spending your money on.",UE
"I use it when we travel, I'd rather find places and read reviews that others have published that I visit, and then post my thoughts. So far, those who use and rate places are very fair and honest.",UE
The other reason I got the app is that it can be exported to QuickBooks even though I haven't used it yet. The reports are great. I'd love to have main categories and sub-categories. I think that's the only thing missing to make this app a really robust standalone financial management app. Keep it up!,UE
Extremely helpful in France We were only in restaurants rated by TA,UE
"I love to insert notes to remember that I am pasting my passwords. I insert copies of receipts and everything I need to find later, and I can easily find it in one place. Also, the search option is very handy.",FR
"Some help here? My messages are not sent, and they keep saying. Help would be nice.",FR
"Wont create teamThe game is good, but when I try to create the team, I only get a go-back button.",FR
Could be better app freezes time to time and delays.,FR
BugThe gold secret does not germinate. Should be a 100% chance to give me a plant that I do not have. Easy to get varieties that I already have.,FR
"This has become my most important note-taking program. I wish I could write handwriting on it. Love, how can I store Outlook emails in it?",FR
"Video Phone CameraPlease attach the camera for video calls to the Galaxy Tab 2 7, ""receiver will see me upside down..",FR
"That cost me hours of work. I paid for it? Editor's choice, really? I cannot recommend this program in its current state. Nexus 10, 4.4",FR
"Works well in the WiFi, but distorted in the mobile Internet",FR
"This is the best video editor ever!!! I also like extras for iMovie, but the only thing I wish I could cut out things that people didn't want.",FR
"IdkWhy does it FOEVER to download!?! I have a Galaxy 3 mini and hers for so long: ""(As I downloaded it because it says to download via wifi and I accepted it and it was still downloaded for two! @ # $ing hrs!!!!!",FR
"Bad! Why it doesn't work? I caught my face and then showed the processing, but nothing happens and take me further to the camera. Please fix it. I use Galaxy Tab 7.0 plus",FR
"This could easily be a 5-star app Best idea ever, but it loses 2 stars just because I have to download one photo at a time This is a huge inconvenience",FR
Please also support animated GIFs!,FR
Black ScreenI get black screen after using flash. It seems to be random.,FR
Some places that had menus in the old version are missing in the new version. Apart from the fact that the app is extremely helpful and easy to use.,FR
"Not very impressive I am a PhD student and use my tablet a lot to take notes during the presentation and read essays. I am disappointed as I cannot use the software to present ppt. Also, the draw option is not very user friendly as it does not allow to draw or delete in different colors.",FR
"Bad!!! When I want to take a photo, the picture from my camera phone is not shown, just bare.. plis fix it. My phone is samsung galaxy young s5360",FR
Love itGreat app which gave there a way to edit multiple checkpins (delete or move to another board) rather than do it individually,FR
"Functionality is as advertised, but still buggyI use DSLR controllers via Wifi on a 6D. During operation, changing functions such as iris control, white balance, etc. would no longer react unreproducibly. Timed exposure (the only advantage over Canon's own app and the reason I bought the app) causes an app and camera crash (!). Disappointing and expensive. I continue to hope for more reliable updates.",FR
"I just wish you could edit your Word documents, except that it's great!",FR
zzzzzzkeeps closing / crashing losing all my work zzzz FIX IT!,FR
"The game itself is not bad. If anything, it's a bit monotonous. However, the manual is less than desirable, especially when it comes to how to feed cows. I made up meadows myself, but can't make bales of straw for my life. Apparently, this is HKW to produce fertilizer for manure and farmland. I sent an email to the developers, but got no response. VERY FRUSTRATING! You spend money in the game on equipment you can't use.",FR
Slow.BuggyIt takes more than a minute to open a file that will be opened in 10 seconds in Polaris Office Tab 2-3100. Needs a speed improvement. Edit: It only shows a blank white screen when we try to open some.doc files!! OMG developers! I hope you have tested the file I sent you.,FR
"Not ClassifiedAlways I get no connection, even though I have enough net bandwidth.... not able to make calls",FR
"Server Error In Belgium I bought PlayStore and said that I need an extra 160 MB to download, but always get the server error 5002. Thank you for taking my money!",FR
"Why does not the music disturbing to make a clip, but NO music... Tried it for my business and that is actually very disappointing.",FR
Not good now gameGame freezes do not know why please help can not come out of the game,FR
"This app has been very helpful in my honeymoon search. It would be nice to be able to enlarge the photos, but otherwise it is perfect.",FR
"ShockingPlayed this on an iPad and it was quality. Download it on my Xperia z tablet and the game is upside down. It is impossible to play and survive the refund period, in my opinion it is not worth the risk of losing 2.99.",FR
"Annoyed, I'd like to log in and it stays logged in. My camera wouldn't work here either, but it works well with my other apps.... needs to be repaired as quickly as possible.",FR
"No grocery stores, cafes or anything that isn't fast food or big chains. No coffee shops except Starbucks and no foreign food and definitely nothing remotely healthy. Also missing is an opportunity for submissions. I was excited about the possibilities of this app, but the reality is much more disappointing.",FR
worstit ws awesome app before d last update doesent show my pictures,FR
The year 2011 is almost upon us. Where is the multitasking?,FR
HeyWhats wrong with this app... It does not allow me to.choose pic from gallery..,FR
Widget problemThere are problems in the widget after a few days widget disappeared and does not appear in the widgets bar,FR
"The app offers good features, but there are a lot of bugs and it lacks some hotkeys to make writing easier",FR
Still Landscape Only So Strange Every other app has the ability to go both ways,FR
This new update has been detected as malware: (,FR
"Thank you, Evernote, for a great app! I use it DAILY to keep my (gluten-free, dairy-free) recipes organized! One tip Please allow me to browse ALL of my notebooks - helpful to find an ingredient - rather than searching each notebook individually. I would also like to pay a flat fee to access my notes offline. Thank you",FR
"Nexus 4The game has no sound, please fix it!!!",FR
Unfortunately not a bad app. It started loading pictures and then brought me back to the homescreen without video or upload.,FR
OkLove the game but after updating its at 0mb / 0mb and not load im ysing the Samsung galaxy s4 active,FR
"When it works well! Keeps freezing and not completing so really annoying after you've spent so long doing it, lets app down because it's great when it works",FR
Gd appI think it's a great app uses it all the time to shut down other running apps.. altho i need to delete it bcuz i have no place on my phone but tilt! It won't uninstall at all says it needs to be b disabled which i still haven't uninstalled at all! NEED HELP!,FR
"Now that I have this app, I can't imagine how I got on without it. In my experience, it's about 98% accurate and the spoken directions are a necessity if you're traveling alone. An improvement would be to have the spoken directions a little earlier, especially on a busy highway. I would recommend this app to anyone looking for a reliable, accurate directions.",FR
"Native crash when selecting the new ship update: they fixed the 0 of 0 problem, but app has native crash when selecting the new ship... Professionals: nice graphics, nice ocean simulation. Cons: no immersive mode for 4.4 devices, the game is a bit short and game mode / event is too easy, the fight gets a bit boring after a few hours.",FR
"UpdateThe app refused to update, but others would. Had to uninstall.",FR
"Problem in activating Iv for a long time with viber nd it never disappointed me, but I have only deactivated my account for one day nd I am trying to activate... I do not get my code by txt nd I also do not get a call... I try again n please fix the problem",FR
"If we could create documentaries within the app, that would be great.",FR
"I love it until... The last update left me far from happy. Double-posting pictures that confuse the way cover photos look is no better, in fact it's worse. I give it 4 stars, now it barely gets 2. Please correct before I lose more fans.",FR
"Battery-hungry, if I had the application open, a full charge can be gone in 4 to 5 hours, whereas it normally lasts 16 hours... just needs to keep it open when needed.",FR
"New Update Is RubbishIt now really sloppy and slow when you go into the filters, for manual focus, for turning the flash on and off, I preferred the old interface - samsung galaxy s3 mini",FR
I sat down and calculated the IQ for each category based on the given data and the Average Professional College IQ used for this program 119.985 ~ 120.It would be really nice to have an integrated IQ Equiv function that shows us this information like the Excel calculator I created for myself. Keep it up!,FR
"I love the Brave version better than the original. The graphics are much better and I love the phrases it says. The goal of reaching 100 is stupid if I don't know how I did it, if I have improved or not, if there is no status for hit targets.",FR
I can't share folders! That was the only reason I made a Dropbox in the first place Ugh,FR
"The ability to use a scroll bar on iPad and iPhone instead of wiping, wiping, wiping and more to get to the bottom of a note. The ability to search for keywords AND THAT to go the keyword as you can on the laptop version is of no use to me if I can't search within the note to find out that WordCan you do these two things please for iOS?",FR
"It's a great app that I use every day... However, it crashes, and violence closes a hell of a lot on my Note 3. Fix this and it's 5 stars, as I much prefer the app to browsing the website on my phone.",FR
Pretty wired Sometimes it flashes green on the 1st opening and I have to close it and open it again. 5 stars if Yuo fixes this.,FR
"Fx is wasteful when I clicked on photos in fx mode, but I am not able to open them on my phone or PC.",FR
It sucks when I press? nothing happens and I can't even share the videos I make,FR
"You must show B & amp; B, small inns",FR
Best gr8Like it nice good job plz add more frame for free pack,FR
We should be able to create text documents! (,FR
Buggy app by updateAnother paid app fail. Edit: back to 1 star again! Crashes now every time a battle is won.,FR
"GoodEver since I downloaded this, I have had huge storage problems on my phone.",FR
"Good, but sad game overall, but could not reinstall an open game so and lost the progress. Also, I bought coins and also lost this. Otherwise, a great game.",FR
"I'm on an original iPad mini and that may be part of his deal, but it seems like there are still little thinner ones that require some work. For example, spell checking doesn't work properly and the search is sometimes slow. None of these or anyone else will stop you from giving this app a great rating. I also think there are improvements here that I hope to see in the future.",FR
"Finally the notifications are here. Now please give us a login with multiple accounts, Google.",FR
"It is impossible to refine a hotel search by criteria beyond location, price and quality. These are well done, and quality reviews and coverage are the reasons we use TA. Especially in high season, many of us travel with pets. We find it hard to find clean, reliable hotels. Most pet travel websites are woefully inadequate. How difficult would it be to include this as an additional search filter? This would provide helpful reviews that would not only improve the on-site experience, but also improve the field.",FR
"When I put things in my Dropbox folder on my desktop, I can find files by date, name, etc. The app has an incomprehensible and non-editable sorting function. It's almost impossible to find files within the app, once you've found them on your phone, I think you can ""prefer"" them, but the challenge is finding them.",FR
Still no way to change filenames - a very basic feature Hard to believe after this time error messages while simply trying to move files No answer from Dropbox,FR
"I tried to uninstall and reinstall, and it's the same. Before the last update it was fine.",FR
"LG Spiritmany bugs sometimes it wont shoot a picture and i have to reopen app, orientation when i turn the phone works about 20% of the time, touch focus is terrible, focus in general is terrible no matter what setting and other things as well. HD CAMERA PRO takes MUCH better pictures and its free. Stop adding so many features... who cares what frame i put on a blurry picture?",FR
"Hello Dropbox team! Please add the ability to rename files, as well as the ability to play GIFs, I know you can!!",FR
It would be nice to have a grid view of photos that is not only the automatic upload of the camera roll. It would also be nice to rename filesMy last review is not fixed yet This app does not support Mobi file uploads. It would be nice to save my Mobi files.,FR
"Needs ART support game has just been updated today and still does not support ART runtime. Opens on the main screen, then closes the force. Works well on dalvik, but it is the only app I have that does not work on ART. Once this problem has been solved, rating and rating will be updated.",FR
I wish it was able to determine which hole you are on.,FR
"Can not read text boxes well, but does not seem to read documents with text boxes and images very well...",FR
"If you are running Android 4.4.2 Kit on a Nexus 7 2013, I assume that it will necessarily close when I use ART runtime. Please update to work with ART!: -)",FR
"I love the service, but notes on PDFs have disappeared since Dropbox's iOS 7 update.",FR
How to add voice notes from iPhone?!,FR
Samsung s3Amazing graphics but it keeps crashing.. either during the race or at the end of it!! Please fix the definitely 5 stars!!!!!,FR
Galax s4Can't search for friends online,FR
"First of all, both Dragon Dictation and Dragon Search are amazing and I use the slow 3G. They are more than amazing on my wife's iPhone 4! As a heavy user of Dragon Dictation, it would be very useful to unlock the screen and start a new one, perhaps by shaking the iPhone. Sometimes it is easier to start over than to edit a word.",FR
HhfgToo slow to download,FR
"Broken Multiplayer Multiplayer doesn't work at all, I just can't connect every time. Would give 5 stars if online is ever repaired.",FR
"Fine when it works, but annoying when it plays up Getting fed up with having to uninstall because it doesn't allow you to work on a new image....",FR
No ignore list on Nexus 7 with Android 4.3Fix it please.,FR
"The game continues to creep up on me, please fix it.",FR
It seems like it would be a great addition to have the hold mail function from your website here as well. Please include this in the next version!,FR
"Seems funnyThis seems to be a fun game, but crashes again and again when it comes to a new screen.",FR
No Sound.Google Nexus 7 2013 This is otherwise a 5 star game. Fix the sound so I can change my rating.,FR
I love the app because it allows me to keep my notes organized and in sync across different devices. I also love the feature of sharing things with friends The only thing I crave is working on notes.,FR
"The new update loads more slowly, locks me out when I press BACK to view photos, this update has glitches that I don't like and I wish you would make it easier to find RESORTS hotels that resemble the ones you saw a few months ago when I saw a 5 star resort with a lazy river, it shows me similar resorts, I would like to stay somewhere else (state, country)",FR
"Thanks for app, but can I add offline mod? For example, I want to save a video to my iPhone and then play it with VLC",FR
"Great game, but..... I like this game, but it does not display properly on my Samsung Galaxy Ace. I get a white background. Please fix it or I want my money back.",FR
Great applicationOne of the great application for chat Please just increase the upload limit This will be very useful,FR
"It would be good if... It would be good if the focus wasn't screwed. Works well with all other camera apps except this one. Focus as a macro behaves like setting to Auto, Setting as a car behaves like Macro. And forget about it if it's a night shot.",FR
Wont loadI got to play in this for a few weeks now suddenly it will not load,FR
"The fact that you can search within folders is extremely useful and makes accessing files on the go much more convenient. I also think that the latest style update is a big plus in the right direction. I use Dropbox on all my devices, which I would like to see improved within the app (e.g. by date), but otherwise it's good.",FR
"Overall, it's a great app. I use it every day. It would be helpful if it included entrance and communion antiphons. I don't appreciate the new app purchase feature. The saint of the day should either be included in the program or have a way to remove the purchase button for those who don't want to buy it.",FR
PerfectVry gud app for editingplz adds a few more interesting frames),FR
"I tend to post reviews spontaneously and my only wish is that I can edit them via the app. I also wish there was a way to respond to replies. A hotel has described itself accurately on TripAdvisor but was misleading on its website, but I can't point that out.",FR
"This app and application has a poor user interface, allowing all kinds of strangers to harass you is not intuitive. The message only works sometimes, no notice has been read or not. It's a bandwidth hog. Companies hate it on their networks. Oh, and I haven't installed it yet. Part of the herd....: (",FR
"How disappointing!! I love the ease of uploading images and music.. however. EVERY SINGLE TIME I GO TO POSIT MY VIDEO, IT CAN NOT PLAY VIDEO.. ON.TOP OF THAT I HAVE paid 1.99 for my own watermark and CAN NOT SEE MY VIDEO!!!",FR
"Not bad on android, but.. for some reason I can't watch the album of my pages in full screen mode (instead I got a small preview in the middle with left / right button on both sides... But on the iOS version the photos are full screen, please fix this!!! Thanks!",FR
Sony xperia spSony xperia sp native resolution not supported,FR
"Fix availability in andriodI can't open the game now. Please have the update version on Android phones. I wait or if not, uninstall it.",FR
Was good until the cent updates Now my notes disappear randomly and I keep getting a synchronization error This app also needs additional features,FR
"SO DUMB.I paid for this game. Tried to download it, and it will not let me... I also can not get a refund! IT CONSTRUCTS!!",FR
"The only good thing about the last update is the ability to create folders, but you can't create folders within folders. I wish you could. The bad thing about the last update? Now typing has a delay that's very annoying. I don't understand how that happened because there's no crazy graphical user interface or anything animated. The most important thing that's pretty good for most people is removing the TAB key. I always hated that the TAB key was at the top of the ruler. I'd prefer to have just a shift key and place the TAB on the keyboard, but now I wish it was at the top. Now you have to go through a complicated process and menu to use it. I've stopped using Pages now because it's so painful to press it when you're not using Bluetooth keyboard.",FR
"I'd give him a 5, of course, if I could pin it on Pinterest.",FR
Excellent Would be nice if the functions of the PC app were available in the iOS app,FR
This update would be a step up if you could actually see the PDFs with it.,FR
"You should add the photo editing option, then this app would be perfect.",FR
"Mixed Review This game works great on my HTC Desire X, but not on my samsung galaxy tab3 (stick jellybean) (weapons and everything else goes invisible and is almost impossible to play) Please fix this as it is a great game.",FR
BuggedThe last update caused the game to stop working. It does not even start now. Please fix. New update still does not fix anything.: /,FR
? Why can't I log into separate drop box accounts?,FR
"Nice app, but needs the ability to share folders For people who are on the go, we need to be able to send links by email to people, sending tons of individual links to people is not feasible",FR
Please complete the landscape care for your obese users!,FR
Bad controlIt's really hard to play. Controls are a real challenge. And it kills all the fun.,FR
"One feature you should add is the ability to import multiple photos to the camera roll, then it is better",FR
"UselessUnusable. If you try to find the right forum, you have to scroll down forever!",FR
Hope it had whatsapp to sms though!,FR
Developer nd attention here.Aftr processing the quality of the image gts dampened or gets bad... need ths all repair,FR
"Can we get push notifications for other things that are shared, except folders My friend is a photographer, he often sticks photos in our shared folder - wants a notification when things arrive (I turned them on but never get it)",FR
"Useful, improvedSatisfied with the progress of this app, but there are many updates that don't seem to make any changes Can't see the names of many boards - there needs to be a text function on the board name for long board names to be visible Indexing is also very slow, many of my pins take weeks to find",FR
>: (The app closes when I take a photo >: (,FR
I just wish it would notify me if I fall short of a certain dollar amount,FR
Still no gallery in Camera Upload mode!,FR
"Video Playback sucksThis is a wonderful app minus the videos To play one it takes you to an internet browser, then to youtube Please allow for in-app playback to bypass all the nonsense",FR
"This really is a great app a tool to manage multiple projects and scattered notes I just wish there was a calendar integration and subfolders within stacks Also in Evernote hello there is no categorization But make no mistake, I swear on this program",FR
Great app!! Useful and easy to use!,FR
"Bummer: / Seen a friend post a video on Facebook, then I downloaded the app.. all I can do is select photos and it won't let me go on after I choose which one I want to use..: (she keeps telling me there is an error",FR
bugs bugs bugsslots bug I can't login anymore... my device is delayed when trying to open the app... fix it sucks!!!,FR
"Will not install.If you have a Nexus 4 with a lot of free space, but the installer says it has 0 MB available.",FR
"Can I go back to an older version? Loved the app, was fast and always connected until the last update. I tried every suggestion. When I first open it, nothing happens, it just sits on a blank screen. Need to close and reopen several times and it's so slow to connect now. Hope it improves. To be fair, I did the same with the latest Tappatalk upgrade. Galaxy Note",FR
"I love this game, but since the update it crashes every time I sink my first fight since the update. I am on Galaxy Note 2. Please fix it and I will return to 5 stars.",FR
You should add the feature to purchase Starbucks gift cards through the iTunes store. I wonder if they will add that when iOS6 comes with passbook?,FR
The other reason I got the app is that it can be exported to QuickBooks even though I haven't used it yet. The reports are great. I'd love to have main categories and sub-categories. I think that's the only thing missing to make this app a really robust standalone financial management app. Keep it up!,FR
Slowly loading the first buggy update,FR
Please insert the option to enlarge the thumbnail during viewing in the photo folder.,FR
"Multiplayer cant joinCant join games, just keeps search. I tried to join custom and says error can not join",FR
"Every time I get ready to use the photo frame and select a photo when I return to the photo frame, it just shows the texture. I have to go through the same problem every time I use it. The only way to get it right until I want to use it again is to restart my phone. Please fix it!! ASAP",FR
"A good app, but to make it a great app, video would be a great feature. A must is to make the timer continuous. After the 5-second countdown, it would be great if it would automatically restart for continuous self-recording. Please add that.",FR
"FreezesIt is a good game, but sometimes it crashes and has to be forcibly stopped and restarted",FR
"I love this app. It's so easy to learn how to use it and it's very easy to understand. The only thing I don't like is that when you choose the option to show how the temperature feels, you can't see what the temperature actually is. I'd love to be able to see both at the same time.",FR
"Camera DOOM FXPictures does not store on an external SD card. In fact, they store in a temporary folder and do not even show up in the gallery. Email Dev replied that he is dealing with it, but has not heard anything since.",FR
"Great information is available on wish maps (the locations of newer hotels have been updated) Also, it would be great to have an individual resort map of all available resorts. It would be great if age and renovation dates were also included for hotels.",FR
BaddThe New Update One sucks. It can even save the painter.,FR
Its amazing The only thing it can do better is to have the ability or export videos to your Camara reel,FR
"I have been using Dropbox for quite some time, have earned a lot of space and love being able to retrieve all of my files from my iPhone, iPad, MacBook and the Internet through someone else's computer, but these last two updates have disabled the camera save feature, which I use all the time and have found several times since the new update. Please add this feature back! I know I can only take one screenshot, but I prefer the clean copy you get without anyone being afraid to save images on the camera roll!",FR
"Not happy I downloaded this app because I got the first one and I liked it, but this one is not even loaded to my phone, all I get is a black screen and music plz fix",FR
Wonderful Butt Could be better if all the tools were built in and not dependent on the network connection,FR
Please fix this I still can not download it..,FR
"You should select the folder first and then the files! I would put a folder as a favorite, so all the files within this as a favorite",FR
"Holds auto-delete every 3 daysThis app is pretty nice, but since the last update it deletes automatically. I've reinstalled it three times, including today. That's just wrong!",FR
"It just needs to play the next song after one ends, and it will definitely get the 5 stars",FR
Does almost anything except allow me to make a quick chart by hand But it allows me to take a photo and record the voice so that helps,FR
"It is very convenient to use, but not being able to switch between accounts without unplugging the phone would be great. Also, improving the media player would help.",FR
"I was hoping that the update would bring back the ""Open in"" option, but it did not mean that importing files to other apps is now a big pain Why was this option removed? Please bring it back",FR
It needs to be improved,FR
"In fact, I think this app is absolutely brilliant when it comes to helping me prepare for my boards. However, just as the muscle name is indicated in the audio, I wish there was an option to hear all the information about the muscles in the audio.",FR
"Great! Only the complaint will be able to change the image that represents your boards, and only a more user-friendly way to change settings and add images to your boards.",FR
"Problems I logged in and tried to log back in later, and it says that I have no pages to manage.",FR
"Is Dropbox design for iOS 7, but is still the same more or less Air Drop is the only new in this update (for iPhone) I think 4 out of 5 because still can't rename files",FR
"Like a lotBut if you change the flash setting, it still activates in the OFF position. Freeze. Sometimes not focus and I have to reinstall or delete data to get it working again.",FR
